maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 1 1 @18  3rd 2 3 0 3 @132 (funding 114 turns, idle max arm/resident [2, 0] after horizon [0, 0])  plants 15 (first @68)  resident 2nd 1 2 0 1 @18  own 248 vs 154  telemetry 0
  OK  6d81a00871f22f23 chopper_aggressor  draw [9, 10, 9, 9, 9]  arm 2nd 2 3 1 3 @16  3rd 2 3 0 2 @97 (funding 81 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 17 (first @43)  resident 2nd 2 3 0 3 @16  own 196 vs 198  telemetry 0
  OK  c14dea6aa5d28951 harvester          draw [2, 9, 9, 8, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 1 @193 (funding 192 turns, idle max arm/resident [12, 0] after horizon [0, 47])  plants 16 (first @6)  resident 2nd 1 2 0 2 @1  own 136 vs 148  telemetry 0
  OK  78e4df84516e04d1 chopper_aggressor  draw [10, 8, 8, 8, 6]  arm 2nd 3 3 1 2 @10  3rd - @- (funding None turns, idle max arm/resident [120, 102] after horizon [50, 50])  plants 12 (first @252)  resident 2nd 3 3 0 2 @10  own 122 vs 168  telemetry 0
  OK  33261cf926f7a3eb harvester          draw [2, 6, 3, 7, 10]  arm 2nd 1 2 1 3 @1  3rd 2 3 0 3 @122 (funding 121 turns, idle max arm/resident [6, 0] after horizon [0, 58])  plants 8 (first @6)  resident 2nd 1 2 0 3 @1  own 192 vs 137  telemetry 0
  OK  2433a442a41ce6cb chopper_aggressor  draw [2, 6, 8, 4, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 2 @120 (funding 119 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 11 (first @4)  resident 2nd 1 2 0 2 @1  own 160 vs 136  telemetry 0
  OK  7a082aa227d4192a harvester          draw [6, 9, 8, 8, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @58 (funding 57 turns, idle max arm/resident [0, 0] after horizon [0, 64])  plants 16 (first @4)  resident 2nd 2 2 0 2 @1  own 196 vs 164  telemetry 0
  OK  62694c8c0a48cf44 chopper_aggressor  draw [10, 10, 9, 7, 10]  arm 2nd 3 3 1 3 @1  3rd 2 3 0 3 @76 (funding 75 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 16 (first @44)  resident 2nd 3 3 0 3 @1  own 216 vs 200  telemetry 0
  OK  21d2746745cd7896 harvester          draw [5, 7, 3, 2, 9]  arm 2nd 2 2 1 3 @10  3rd 2 3 0 3 @90 (funding 80 turns, idle max arm/resident [2, 0] after horizon [0, 50])  plants 7 (first @16)  resident 2nd 2 2 0 3 @10  own 144 vs 92  telemetry 0
  OK  2d8f315778eba2a8 chopper_aggressor  draw [3, 4, 2, 10, 9]  arm 2nd 1 2 1 2 @20  3rd 2 3 0 3 @142 (funding 122 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 14 (first @82)  resident 2nd 1 2 0 2 @20  own 176 vs 124  telemetry 0
  OK  879f73412b531333 harvester          draw [6, 6, 4, 4, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @103 (funding 102 turns, idle max arm/resident [9, 0] after horizon [0, 50])  plants 7 (first @4)  resident 2nd 2 2 0 2 @1  own 132 vs 108  telemetry 0
  OK  80385f5fdcac43f7 chopper_aggressor  draw [2, 7, 8, 6, 10]  arm 2nd 2 2 1 3 @14  3rd 2 3 0 3 @77 (funding 63 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 12 (first @18)  resident 2nd 2 2 0 3 @14  own 184 vs 154  telemetry 0
  OK  d9c8059a3038862e harvester          draw [4, 10, 3, 4, 3]  arm 2nd 2 3 1 1 @10  3rd 2 3 0 2 @113 (funding 103 turns, idle max arm/resident [0, 0] after horizon [0, 33])  plants 8 (first @64)  resident 2nd 2 3 0 1 @10  own 280 vs 228  telemetry 0
  OK  b64b9915e3f228af chopper_aggressor  draw [10, 10, 8, 7, 9]  arm 2nd 3 3 1 3 @16  3rd 2 3 0 2 @84 (funding 68 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 15 (first @30)  resident 2nd 3 3 0 3 @16  own 228 vs 224  telemetry 0

  PASS  mechanics ok on 24/24 maps; a third troll in 23/24 games, median turn 103, funding median 97 turns; no third troll: {'bill never paid by turn 200': 1}; stalled: []; own-score sum arm − resident = +784 over 24 games (+830 on the 23 third-troll maps) (a fact, not a verdict)  -> local_claude_1/third-troll/results/smoke-orchard2.json
