maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 1 1 @18  3rd 2 3 0 3 @152 (funding 134 turns, idle max arm/resident [2, 0] after horizon [0, 0])  plants 18 (first @68)  resident 2nd 1 2 0 1 @18  own 240 vs 154  telemetry 0
  OK  78e4df84516e04d1 chopper_aggressor  draw [10, 8, 8, 8, 6]  arm 2nd 3 3 1 2 @10  3rd - @- (funding None turns, idle max arm/resident [120, 102] after horizon [50, 50])  plants 12 (first @252)  resident 2nd 3 3 0 2 @10  own 122 vs 168  telemetry 0
  OK  33261cf926f7a3eb harvester          draw [2, 6, 3, 7, 10]  arm 2nd 1 2 1 3 @1  3rd 2 3 0 3 @103 (funding 102 turns, idle max arm/resident [0, 0] after horizon [0, 58])  plants 12 (first @6)  resident 2nd 1 2 0 3 @1  own 216 vs 137  telemetry 0
  OK  2433a442a41ce6cb chopper_aggressor  draw [2, 6, 8, 4, 5]  arm 2nd 1 2 1 2 @1  3rd 2 3 0 3 @147 (funding 146 turns, idle max arm/resident [0, 1] after horizon [0, 50])  plants 20 (first @4)  resident 2nd 1 2 0 2 @1  own 240 vs 136  telemetry 0
  OK  7a082aa227d4192a harvester          draw [6, 9, 8, 8, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @76 (funding 75 turns, idle max arm/resident [1, 0] after horizon [0, 64])  plants 19 (first @4)  resident 2nd 2 2 0 2 @1  own 224 vs 164  telemetry 0
  OK  62694c8c0a48cf44 chopper_aggressor  draw [10, 10, 9, 7, 10]  arm 2nd 3 3 1 3 @1  3rd 2 3 0 3 @82 (funding 81 turns, idle max arm/resident [1, 0] after horizon [0, 80])  plants 17 (first @44)  resident 2nd 3 3 0 3 @1  own 220 vs 200  telemetry 0
  OK  21d2746745cd7896 harvester          draw [5, 7, 3, 2, 9]  arm 2nd 2 2 1 3 @10  3rd 2 3 0 3 @104 (funding 94 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 8 (first @16)  resident 2nd 2 2 0 3 @10  own 164 vs 92  telemetry 0
  OK  2d8f315778eba2a8 chopper_aggressor  draw [3, 4, 2, 10, 9]  arm 2nd 1 2 1 2 @20  3rd 2 3 0 3 @152 (funding 132 turns, idle max arm/resident [1, 0] after horizon [0, 50])  plants 16 (first @82)  resident 2nd 1 2 0 2 @20  own 180 vs 124  telemetry 0
  OK  879f73412b531333 harvester          draw [6, 6, 4, 4, 6]  arm 2nd 2 2 1 2 @1  3rd 2 3 0 3 @130 (funding 129 turns, idle max arm/resident [8, 16] after horizon [0, 50])  plants 11 (first @4)  resident 2nd 2 2 0 2 @1  own 176 vs 108  telemetry 0
  OK  80385f5fdcac43f7 chopper_aggressor  draw [2, 7, 8, 6, 10]  arm 2nd 2 2 1 3 @14  3rd 2 3 0 3 @90 (funding 76 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 16 (first @18)  resident 2nd 2 2 0 3 @14  own 216 vs 154  telemetry 0
  OK  d9c8059a3038862e harvester          draw [4, 10, 3, 4, 3]  arm 2nd 2 3 1 1 @10  3rd 2 3 0 3 @158 (funding 148 turns, idle max arm/resident [0, 0] after horizon [0, 33])  plants 10 (first @98)  resident 2nd 2 3 0 1 @10  own 272 vs 228  telemetry 0
  OK  b64b9915e3f228af chopper_aggressor  draw [10, 10, 8, 7, 9]  arm 2nd 3 3 1 3 @16  3rd 2 3 0 3 @124 (funding 108 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 17 (first @30)  resident 2nd 3 3 0 3 @16  own 252 vs 224  telemetry 0

  PASS  mechanics ok on 24/24 maps; a third troll in 21/24 games, median turn 119, funding median 103 turns; no third troll: {'bill never paid by turn 200': 3}; stalled: []; own-score sum arm − resident = +1193 over 24 games (+1298 on the 21 third-troll maps) (a fact, not a verdict)  -> local_claude_1/third-troll/results/smoke-orchard.json
