seed,cand_seat,turns,cand_score,champ_score,cand_fruit,cand_wood,champ_fruit,champ_wood,cand_crash,champ_crash
36,0,300,446,431,18,107,11,105,0,0
36,1,300,435,395,19,104,11,96,0,0
37,0,300,449,428,9,110,12,104,0,0
37,1,300,459,458,11,112,10,112,0,0
38,0,300,440,369,16,106,5,91,0,0
38,1,300,464,345,4,115,5,85,0,0
39,0,300,379,347,15,91,11,84,0,0
39,1,300,363,380,19,86,16,91,0,0
40,0,300,389,374,13,94,14,90,0,0
40,1,300,370,391,14,89,15,94,0,0
41,0,300,372,286,8,91,6,70,0,0
41,1,300,325,342,37,72,6,84,0,0
42,0,300,22,21,22,0,21,0,0,0
42,1,300,21,22,21,0,22,0,0,0
43,0,300,380,376,12,92,8,92,0,0
43,1,300,382,369,6,94,13,89,0,0
44,0,300,305,339,21,71,11,82,0,0
44,1,300,305,297,21,71,13,71,0,0
45,0,300,410,413,14,99,13,100,0,0
45,1,300,425,417,17,102,13,101,0,0
46,0,300,396,399,12,96,15,96,0,0
46,1,300,393,397,17,94,13,96,0,0
47,0,300,450,399,10,110,7,98,0,0
47,1,300,432,418,8,106,10,102,0,0
48,0,300,366,258,10,89,6,63,0,0
48,1,300,361,234,9,88,6,57,0,0
49,0,300,283,285,11,68,5,70,0,0
49,1,300,289,283,9,70,11,68,0,0
50,0,300,462,467,6,114,3,116,0,0
50,1,300,458,443,6,113,3,110,0,0
51,0,300,372,415,28,86,15,100,0,0
51,1,300,419,422,19,100,14,102,0,0
52,0,300,33,33,33,0,33,0,0,0
52,1,300,33,33,33,0,33,0,0,0
53,0,300,455,406,7,112,6,100,0,0
53,1,300,442,398,6,109,6,98,0,0
54,0,300,360,395,36,81,11,96,0,0
54,1,300,382,244,26,89,28,54,0,0
55,0,300,29,445,29,0,21,106,0,0
55,1,300,444,29,20,106,29,0,0,0
56,0,300,399,397,7,98,5,98,0,0
56,1,300,396,408,4,98,8,100,0,0
57,0,300,450,319,14,109,15,76,0,0
57,1,300,454,371,14,110,15,89,0,0
58,0,300,30,359,30,0,27,83,0,0
58,1,300,358,30,26,83,30,0,0,0
59,0,300,308,274,36,68,26,62,0,0
59,1,300,364,309,12,88,21,72,0,0
60,0,300,212,313,12,50,5,77,0,0
60,1,300,165,205,29,34,5,50,0,0
61,0,300,309,322,9,75,10,78,0,0
61,1,300,321,293,9,78,9,71,0,0
62,0,300,15,388,15,0,8,95,0,0
62,1,300,387,15,7,95,15,0,0,0
63,0,300,253,265,37,54,17,62,0,0
63,1,300,272,281,32,60,17,66,0,0
64,0,300,373,340,9,91,12,82,0,0
64,1,300,344,370,16,82,10,90,0,0
65,0,300,343,343,11,83,15,82,0,0
65,1,300,357,334,13,86,14,80,0,0
66,0,300,389,388,17,93,24,91,0,0
66,1,300,387,390,23,91,18,93,0,0
67,0,300,449,362,5,111,6,89,0,0
67,1,300,441,398,5,109,6,98,0,0
68,0,300,376,397,16,90,13,96,0,0
68,1,300,394,386,10,96,18,92,0,0
69,0,300,350,366,6,86,6,90,0,0
69,1,300,389,343,5,96,7,84,0,0
70,0,300,346,399,38,77,15,96,0,0
70,1,300,393,372,17,94,12,90,0,0
71,0,293,302,334,6,74,6,82,0,0
71,1,289,318,330,6,78,6,81,0,0
72,0,300,17,356,17,0,12,86,0,0
72,1,300,362,17,14,87,17,0,0,0
73,0,300,422,430,10,103,6,106,0,0
73,1,300,429,408,5,106,8,100,0,0
74,0,300,249,290,37,53,10,70,0,0
74,1,282,260,254,36,56,10,61,0,0
75,0,300,468,441,8,115,13,107,0,0
75,1,300,446,464,14,108,8,114,0,0
76,0,300,427,364,15,103,12,88,0,0
76,1,300,429,364,17,103,12,88,0,0
77,0,300,247,31,15,58,31,0,0,0
77,1,300,31,199,31,0,7,48,0,0
78,0,300,376,401,24,88,21,95,0,0
78,1,300,400,377,20,95,25,88,0,0
79,0,300,342,361,22,80,25,84,0,0
79,1,300,371,352,27,86,24,82,0,0
80,0,300,21,21,21,0,21,0,0,0
80,1,300,21,21,21,0,21,0,0,0
81,0,300,199,248,39,40,12,59,0,0
81,1,300,170,254,46,31,14,60,0,0
82,0,300,318,309,26,73,13,74,0,0
82,1,300,328,367,24,76,23,86,0,0
83,0,300,439,425,15,106,13,103,0,0
83,1,300,452,450,12,110,10,110,0,0
84,0,300,298,307,10,72,11,74,0,0
84,1,300,296,275,16,70,11,66,0,0
85,0,300,366,219,22,86,123,24,0,0
85,1,300,218,367,122,24,23,86,0,0
86,0,300,388,393,4,96,5,97,0,0
86,1,300,412,385,4,102,5,95,0,0
87,0,300,326,330,18,77,18,78,0,0
87,1,300,308,297,24,71,9,72,0,0
88,0,300,327,346,11,79,10,84,0,0
88,1,300,345,328,9,84,12,79,0,0
89,0,300,372,349,12,90,17,83,0,0
89,1,300,348,373,16,83,13,90,0,0
90,0,300,423,397,11,103,13,96,0,0
90,1,300,396,431,12,96,11,105,0,0
91,0,300,400,370,24,94,26,86,0,0
91,1,300,369,401,25,86,25,94,0,0
92,0,300,368,350,12,89,14,84,0,0
92,1,300,356,366,16,85,14,88,0,0
93,0,300,411,405,15,99,9,99,0,0
93,1,300,433,417,9,106,9,102,0,0
94,0,300,477,429,13,116,13,104,0,0
94,1,300,414,478,14,100,14,116,0,0
95,0,300,26,27,26,0,27,0,0,0
95,1,300,27,26,27,0,26,0,0,0
96,0,300,318,242,6,78,2,60,0,0
96,1,300,306,178,10,74,2,44,0,0
97,0,300,324,253,16,77,9,61,0,0
97,1,300,329,257,13,79,9,62,0,0
98,0,300,425,399,17,102,23,94,0,0
98,1,300,398,434,22,94,18,104,0,0
99,0,300,364,343,32,83,23,80,0,0
99,1,300,353,303,33,80,23,70,0,0
100,0,300,399,359,7,98,7,88,0,0
100,1,300,390,325,10,95,5,80,0,0
101,0,300,295,217,55,60,9,52,0,0
101,1,300,283,237,59,56,9,57,0,0
102,0,300,409,391,17,98,19,93,0,0
102,1,300,390,410,18,93,18,98,0,0
103,0,300,242,235,34,52,15,55,0,0
103,1,300,341,272,13,82,8,66,0,0
104,0,300,22,20,22,0,20,0,0,0
104,1,300,20,22,20,0,22,0,0,0
105,0,300,266,249,10,64,9,60,0,0
105,1,300,243,253,15,57,9,61,0,0
106,0,300,412,387,12,100,7,95,0,0
106,1,300,361,421,9,88,13,102,0,0
107,0,300,473,380,17,114,8,93,0,0
107,1,300,434,416,22,103,8,102,0,0
108,0,300,265,237,41,56,13,56,0,0
108,1,300,271,247,51,55,15,58,0,0
109,0,300,381,410,5,94,6,101,0,0
109,1,300,409,371,5,101,3,92,0,0
110,0,300,275,297,11,66,17,70,0,0
110,1,300,229,263,25,51,11,63,0,0
111,0,300,450,414,10,110,10,101,0,0
111,1,300,454,389,10,111,9,95,0,0
112,0,300,291,209,11,70,9,50,0,0
112,1,300,264,292,20,61,12,70,0,0
113,0,300,368,360,20,87,24,84,0,0
113,1,300,376,385,24,88,17,92,0,0
114,0,300,309,217,41,67,9,52,0,0
114,1,300,330,289,42,72,9,70,0,0
115,0,300,329,336,17,78,16,80,0,0
115,1,300,356,311,16,85,15,74,0,0
116,0,269,160,261,52,27,13,62,0,0
116,1,258,157,254,57,25,14,60,0,0
117,0,300,213,225,33,45,17,52,0,0
117,1,300,253,274,25,57,14,65,0,0
118,0,300,446,424,10,109,8,104,0,0
118,1,300,423,447,7,104,11,109,0,0
119,0,300,354,381,30,81,21,90,0,0
119,1,300,380,354,20,90,30,81,0,0
120,0,300,301,357,53,62,9,87,0,0
120,1,300,350,310,46,76,10,75,0,0
121,0,300,210,212,154,14,156,14,0,0
121,1,300,211,211,155,14,155,14,0,0
122,0,300,316,351,28,72,23,82,0,0
122,1,300,350,320,22,82,24,74,0,0
123,0,300,425,322,13,103,14,77,0,0
123,1,300,409,390,13,99,14,94,0,0
124,0,300,406,387,10,99,11,94,0,0
124,1,300,387,344,11,94,12,83,0,0
125,0,300,219,257,27,48,9,62,0,0
125,1,300,226,246,34,48,14,58,0,0
126,0,300,397,330,5,98,10,80,0,0
126,1,300,363,312,19,86,8,76,0,0
127,0,300,452,448,4,112,8,110,0,0
127,1,300,444,454,8,109,6,112,0,0
128,0,300,355,377,27,82,17,90,0,0
128,1,300,393,347,17,94,11,84,0,0
129,0,300,434,422,18,104,18,101,0,0
129,1,300,426,442,22,101,22,105,0,0
130,0,300,378,374,10,92,14,90,0,0
130,1,300,367,379,15,88,11,92,0,0
131,0,300,247,238,27,55,14,56,0,0
131,1,300,238,235,22,54,11,56,0,0
132,0,300,407,354,15,98,14,85,0,0
132,1,300,379,400,19,90,16,96,0,0
133,0,300,316,336,20,74,16,80,0,0
133,1,300,335,317,15,80,21,74,0,0
134,0,300,226,239,34,48,39,50,0,0
134,1,300,214,236,46,42,36,50,0,0
135,0,300,287,218,15,68,10,52,0,0
135,1,300,259,238,31,57,14,56,0,0
136,0,300,339,296,27,78,12,71,0,0
136,1,300,331,353,31,75,25,82,0,0
137,0,300,419,370,11,102,14,89,0,0
137,1,300,369,420,13,89,12,102,0,0
138,0,300,433,347,9,106,3,86,0,0
138,1,300,422,191,6,104,3,47,0,0
139,0,300,347,337,27,80,21,79,0,0
139,1,300,336,323,24,78,19,76,0,0
140,0,300,382,340,10,93,8,83,0,0
140,1,300,358,383,22,84,11,93,0,0
141,0,300,380,24,12,92,24,0,0,0
141,1,300,24,381,24,0,13,92,0,0
142,0,300,353,349,21,83,21,82,0,0
142,1,300,348,354,20,82,22,83,0,0
143,0,300,146,161,14,33,17,36,0,0
143,1,300,154,162,18,34,14,37,0,0
144,0,300,260,229,16,61,5,56,0,0
144,1,300,277,217,21,64,5,53,0,0
145,0,300,294,332,14,70,12,80,0,0
145,1,300,319,324,11,77,12,78,0,0
146,0,300,18,336,18,0,8,82,0,0
146,1,300,329,18,9,80,18,0,0,0
147,0,300,363,335,35,82,31,76,0,0
147,1,300,334,364,30,76,36,82,0,0
148,0,300,388,259,28,90,135,31,0,0
148,1,300,258,389,134,31,29,90,0,0
149,0,300,309,324,9,75,8,79,0,0
149,1,300,323,319,7,79,7,78,0,0
150,0,280,434,348,14,105,12,84,0,0
150,1,300,459,336,11,112,12,81,0,0
151,0,300,328,346,20,77,14,83,0,0
151,1,300,361,352,17,86,8,86,0,0
152,0,300,359,352,15,86,8,86,0,0
152,1,300,351,381,7,86,13,92,0,0
153,0,300,402,422,18,96,14,102,0,0
153,1,300,401,369,25,94,17,88,0,0
154,0,300,347,344,11,84,12,83,0,0
154,1,300,343,348,11,83,12,84,0,0
155,0,300,421,381,13,102,13,92,0,0
155,1,300,391,422,23,92,14,102,0,0
156,0,300,412,288,8,101,8,70,0,0
156,1,300,394,332,34,90,8,81,0,0
157,0,300,527,513,3,131,5,127,0,0
157,1,300,510,532,6,126,4,132,0,0
158,0,300,535,511,15,130,15,124,0,0
158,1,300,510,536,14,124,16,130,0,0
159,0,300,413,397,13,100,17,95,0,0
159,1,300,392,394,16,94,18,94,0,0
160,0,300,325,286,57,67,6,70,0,0
160,1,300,355,280,51,76,4,69,0,0
161,0,300,410,357,10,100,13,86,0,0
161,1,300,356,411,12,86,11,100,0,0
162,0,300,417,276,17,100,12,66,0,0
162,1,300,392,245,12,95,13,58,0,0
163,0,300,267,278,23,61,6,68,0,0
163,1,300,301,264,37,66,8,64,0,0
164,0,300,343,366,35,77,18,87,0,0
164,1,300,365,339,17,87,27,78,0,0
165,0,300,345,365,25,80,25,85,0,0
165,1,300,364,346,24,85,22,81,0,0
166,0,300,389,417,13,94,17,100,0,0
166,1,300,416,390,16,100,14,94,0,0
167,0,300,365,330,25,85,10,80,0,0
167,1,300,407,235,15,98,11,56,0,0
168,0,300,375,367,15,90,11,89,0,0
168,1,300,362,354,14,87,10,86,0,0
169,0,300,212,232,48,41,4,57,0,0
169,1,300,293,232,45,62,4,57,0,0
170,0,300,354,196,14,85,8,47,0,0
170,1,300,326,203,10,79,7,49,0,0
171,0,300,393,391,17,94,15,94,0,0
171,1,300,390,394,14,94,18,94,0,0
172,0,300,327,325,35,73,17,77,0,0
172,1,300,318,343,38,70,7,84,0,0
173,0,300,253,208,41,53,8,50,0,0
173,1,300,270,223,42,57,7,54,0,0
174,0,300,238,262,22,54,10,63,0,0
174,1,300,226,252,22,51,16,59,0,0
175,0,300,372,305,12,90,5,75,0,0
175,1,300,347,285,11,84,5,70,0,0
176,0,300,21,280,21,0,16,66,0,0
176,1,300,282,21,26,64,21,0,0,0
177,0,300,318,341,26,73,21,80,0,0
177,1,300,346,344,22,81,20,81,0,0
178,0,300,628,424,4,156,4,105,0,0
178,1,300,452,637,16,109,5,158,0,0
179,0,300,344,356,24,80,20,84,0,0
179,1,300,322,313,22,75,13,75,0,0
180,0,300,364,337,12,88,9,82,0,0
180,1,300,360,289,16,86,9,70,0,0
181,0,300,269,273,25,61,5,67,0,0
181,1,300,289,253,33,64,5,62,0,0
182,0,300,351,353,23,82,17,84,0,0
182,1,300,375,397,23,88,13,96,0,0
183,0,300,408,384,16,98,16,92,0,0
183,1,300,383,405,15,92,17,97,0,0
184,0,270,172,198,52,30,14,46,0,0
184,1,285,214,309,38,44,13,74,0,0
185,0,300,348,321,16,83,17,76,0,0
185,1,300,320,349,16,76,17,83,0,0
186,0,300,380,30,20,90,30,0,0,0
186,1,300,30,360,30,0,16,86,0,0
187,0,300,359,397,35,81,13,96,0,0
187,1,300,405,374,13,98,10,91,0,0
188,0,300,303,247,15,72,7,60,0,0
188,1,300,318,264,10,77,8,64,0,0
189,0,300,463,382,23,110,14,92,0,0
189,1,300,456,373,24,108,13,90,0,0
190,0,300,375,326,27,87,22,76,0,0
190,1,300,349,329,25,81,13,79,0,0
191,0,300,399,479,23,94,3,119,0,0
191,1,300,397,444,21,94,4,110,0,0
192,0,300,379,398,7,93,6,98,0,0
192,1,300,377,358,5,93,6,88,0,0
193,0,300,20,20,20,0,20,0,0,0
193,1,300,20,20,20,0,20,0,0,0
194,0,300,392,321,16,94,9,78,0,0
194,1,300,374,305,10,91,9,74,0,0
195,0,300,356,23,20,84,23,0,0,0
195,1,300,23,234,23,0,6,57,0,0
196,0,300,346,13,10,84,13,0,0,0
196,1,300,13,347,13,0,11,84,0,0
197,0,300,461,384,5,114,4,95,0,0
197,1,300,459,372,7,113,4,92,0,0
198,0,300,321,299,17,76,11,72,0,0
198,1,300,325,314,21,76,10,76,0,0
199,0,300,410,404,2,102,4,100,0,0
199,1,300,403,411,3,100,3,102,0,0
