maps from the slice local_claude_1/third-troll/smoke-maps-seed0.jsonl: 24
  OK  7b515d6db8085355 harvester          draw [2, 3, 8, 8, 4]  arm 2nd 1 2 0 1 @18  3rd 1 3 0 3 @138 (funding 120 turns, idle max arm/resident [0, 0] after horizon [0, 0])  plants 13 (first @241)  resident 2nd 1 2 0 1 @18  own 168 vs 154  telemetry 0
  OK  78e4df84516e04d1 chopper_aggressor  draw [10, 8, 8, 8, 6]  arm 2nd 3 3 0 2 @10  3rd 1 1 0 2 @86 (funding 76 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 14 (first @103)  resident 2nd 3 3 0 2 @10  own 148 vs 168  telemetry 0
  OK  33261cf926f7a3eb harvester          draw [2, 6, 3, 7, 10]  arm 2nd 1 2 0 3 @1  3rd 1 1 0 3 @113 (funding 112 turns, idle max arm/resident [12, 0] after horizon [0, 58])  plants 8 (first @252)  resident 2nd 1 2 0 3 @1  own 136 vs 137  telemetry 0
  OK  2433a442a41ce6cb chopper_aggressor  draw [2, 6, 8, 4, 5]  arm 2nd 1 2 0 2 @1  3rd 1 3 0 3 @111 (funding 110 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 9 (first @252)  resident 2nd 1 2 0 2 @1  own 104 vs 136  telemetry 0
  OK  7a082aa227d4192a harvester          draw [6, 9, 8, 8, 6]  arm 2nd 2 2 0 2 @1  3rd 2 2 0 3 @104 (funding 103 turns, idle max arm/resident [0, 0] after horizon [0, 64])  plants 13 (first @158)  resident 2nd 2 2 0 2 @1  own 144 vs 164  telemetry 0
  OK  62694c8c0a48cf44 chopper_aggressor  draw [10, 10, 9, 7, 10]  arm 2nd 3 3 0 3 @1  3rd 1 3 0 3 @111 (funding 110 turns, idle max arm/resident [4, 0] after horizon [0, 80])  plants 13 (first @139)  resident 2nd 3 3 0 3 @1  own 196 vs 200  telemetry 0
  OK  21d2746745cd7896 harvester          draw [5, 7, 3, 2, 9]  arm 2nd 2 2 0 3 @10  3rd 1 1 0 3 @64 (funding 54 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 2 (first @102)  resident 2nd 2 2 0 3 @10  own 72 vs 92  telemetry 0
  OK  2d8f315778eba2a8 chopper_aggressor  draw [3, 4, 2, 10, 9]  arm 2nd 1 2 0 2 @20  3rd 1 1 0 3 @163 (funding 143 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 13 (first @208)  resident 2nd 1 2 0 2 @20  own 124 vs 124  telemetry 0
  OK  879f73412b531333 harvester          draw [6, 6, 4, 4, 6]  arm 2nd 2 2 0 2 @1  3rd 1 1 0 3 @93 (funding 92 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 7 (first @116)  resident 2nd 2 2 0 2 @1  own 96 vs 108  telemetry 0
  OK  80385f5fdcac43f7 chopper_aggressor  draw [2, 7, 8, 6, 10]  arm 2nd 2 2 0 3 @14  3rd 1 3 0 3 @108 (funding 94 turns, idle max arm/resident [0, 0] after horizon [0, 50])  plants 11 (first @252)  resident 2nd 2 2 0 3 @14  own 148 vs 154  telemetry 0
  OK  d9c8059a3038862e harvester          draw [4, 10, 3, 4, 3]  arm 2nd 2 3 0 1 @10  3rd 2 3 0 3 @124 (funding 114 turns, idle max arm/resident [0, 0] after horizon [0, 33])  plants 4 (first @224)  resident 2nd 2 3 0 1 @10  own 200 vs 228  telemetry 0
  OK  b64b9915e3f228af chopper_aggressor  draw [10, 10, 8, 7, 9]  arm 2nd 3 3 0 3 @16  3rd 1 2 0 3 @103 (funding 87 turns, idle max arm/resident [0, 0] after horizon [0, 80])  plants 13 (first @145)  resident 2nd 3 3 0 3 @16  own 232 vs 224  telemetry 0

  FAIL  mechanics ok on 23/24 maps; a third troll in 22/24 games, median turn 108, funding median 103 turns; no third troll: {'bill never paid by turn 200': 2}; stalled: ['c14dea6aa5d28951']; own-score sum arm − resident = -174 over 24 games (-149 on the 22 third-troll maps) (a fact, not a verdict)  -> claude_1/wood-charging-gate/results/smoke.json
